Club,Expenditure,Arrivals,Income,Departures,Balance,League
Liverpool FC,€484.68m,15,€219.50m,12,€-265.18m,premier-league
Chelsea FC,€328.15m,26,€332.25m,24,€4.10m,premier-league
Arsenal FC,€293.50m,15,€10.30m,14,€-283.20m,premier-league
Newcastle United,€278.85m,12,€176.00m,11,€-102.85m,premier-league
Manchester United,€250.70m,13,€74.20m,13,€-176.50m,premier-league
Nottingham Forest,€236.90m,22,€126.90m,20,€-110.00m,premier-league
Tottenham Hotspur,€210.60m,15,€41.50m,15,€-169.10m,premier-league
Manchester City,€206.90m,16,€70.50m,16,€-136.40m,premier-league
Sunderland AFC,€187.90m,25,€51.00m,16,€-136.90m,premier-league
West Ham United,€143.80m,20,€89.50m,17,€-54.30m,premier-league
Wolverhampton Wanderers,€140.00m,13,€137.50m,19,€-2.50m,premier-league
AFC Bournemouth,€138.10m,20,€238.41m,18,€100.31m,premier-league
Everton FC,€129.75m,18,€12.60m,18,€-117.15m,premier-league
Burnley FC,€128.65m,24,€35.00m,21,€-93.65m,premier-league
Leeds United,€113.70m,16,€8.00m,14,€-105.70m,premier-league
Brentford FC,€98.70m,15,€155.30m,12,€56.60m,premier-league
Brighton & Hove Albion,€80.00m,23,€146.00m,22,€66.00m,premier-league
Crystal Palace,€55.30m,16,€73.00m,14,€17.70m,premier-league
Fulham FC,€44.50m,5,€17.00m,7,€-27.50m,premier-league
Aston Villa,€30.50m,17,€55.15m,17,€24.65m,premier-league
AC Milan,€162.00m,25,€176.30m,29,€14.30m,serie-a
Juventus FC,€137.30m,21,€84.50m,21,€-52.80m,serie-a
Atalanta BC,€125.80m,16,€107.55m,17,€-18.25m,serie-a
SSC Napoli,€115.00m,34,€126.65m,32,€11.65m,serie-a
Como 1907,€107.45m,37,€13.65m,35,€-93.80m,serie-a
Inter Milan,€92.70m,17,€48.00m,17,€-44.70m,serie-a
ACF Fiorentina,€90.90m,40,€62.95m,35,€-27.95m,serie-a
AS Roma,€63.60m,24,€49.95m,22,€-13.65m,serie-a
Bologna FC 1909,€51.00m,29,€82.00m,29,€31.00m,serie-a
Parma Calcio 1913,€39.20m,19,€80.05m,20,€40.85m,serie-a
Cagliari Calcio,€37.30m,27,€38.10m,23,€800k,serie-a
Udinese Calcio,€34.50m,23,€62.10m,22,€27.60m,serie-a
